Frame Time: 17.15 ms, Points Drawn: 4620
Frame Time: 34.28 ms, Points Drawn: 4619
Frame Time: 1.63 ms, Points Drawn: 4619
Frame Time: 1.63 ms, Points Drawn: 4616
Frame Time: 1.65 ms, Points Drawn: 4620
Frame Time: 2.23 ms, Points Drawn: 4617
Frame Time: 2.77 ms, Points Drawn: 4618
Frame Time: 2.74 ms, Points Drawn: 4620
Frame Time: 1.32 ms, Points Drawn: 4622
Frame Time: 1.38 ms, Points Drawn: 4620
Frame Time: 2.33 ms, Points Drawn: 4620
Frame Time: 1.52 ms, Points Drawn: 4618
Frame Time: 1.31 ms, Points Drawn: 4616
Frame Time: 1.39 ms, Points Drawn: 4618
Frame Time: 1.45 ms, Points Drawn: 4612
Frame Time: 1.33 ms, Points Drawn: 4610
Frame Time: 1.44 ms, Points Drawn: 4607
Frame Time: 1.31 ms, Points Drawn: 4609
Frame Time: 1.39 ms, Points Drawn: 4607
Frame Time: 1.39 ms, Points Drawn: 4606
Frame Time: 1.33 ms, Points Drawn: 4607
Frame Time: 1.28 ms, Points Drawn: 4609
Frame Time: 1.48 ms, Points Drawn: 4606
Frame Time: 1.41 ms, Points Drawn: 4608
Frame Time: 1.35 ms, Points Drawn: 4605
Frame Time: 1.33 ms, Points Drawn: 4606
Frame Time: 1.34 ms, Points Drawn: 4612
Frame Time: 1.25 ms, Points Drawn: 4611
Frame Time: 1.26 ms, Points Drawn: 4612
Frame Time: 1.21 ms, Points Drawn: 4610
Frame Time: 1.18 ms, Points Drawn: 4605
Frame Time: 1.18 ms, Points Drawn: 4606
Frame Time: 1.16 ms, Points Drawn: 4605
Frame Time: 1.17 ms, Points Drawn: 4602
Frame Time: 1.23 ms, Points Drawn: 4604
Frame Time: 1.22 ms, Points Drawn: 4603
Frame Time: 1.17 ms, Points Drawn: 4602
Frame Time: 1.20 ms, Points Drawn: 4603
Frame Time: 1.40 ms, Points Drawn: 4597
Frame Time: 1.44 ms, Points Drawn: 4598
Frame Time: 1.47 ms, Points Drawn: 4601
Frame Time: 1.29 ms, Points Drawn: 4603
Frame Time: 1.25 ms, Points Drawn: 4604
Frame Time: 1.32 ms, Points Drawn: 4602
Frame Time: 1.38 ms, Points Drawn: 4600
Frame Time: 1.32 ms, Points Drawn: 4593
Frame Time: 1.37 ms, Points Drawn: 4595
Frame Time: 1.35 ms, Points Drawn: 4597
Frame Time: 1.30 ms, Points Drawn: 4596
Frame Time: 1.31 ms, Points Drawn: 4595
Frame Time: 1.39 ms, Points Drawn: 4594
Frame Time: 1.33 ms, Points Drawn: 4593
Frame Time: 1.32 ms, Points Drawn: 4590
Frame Time: 1.24 ms, Points Drawn: 4589
Frame Time: 1.34 ms, Points Drawn: 4587
Frame Time: 1.33 ms, Points Drawn: 4586
Frame Time: 1.32 ms, Points Drawn: 4590
Frame Time: 1.38 ms, Points Drawn: 4588
Frame Time: 1.32 ms, Points Drawn: 4590
Frame Time: 1.35 ms, Points Drawn: 4590
Frame Time: 1.29 ms, Points Drawn: 4594
Frame Time: 1.26 ms, Points Drawn: 4593
Frame Time: 1.27 ms, Points Drawn: 4592
Frame Time: 1.31 ms, Points Drawn: 4598
Frame Time: 1.36 ms, Points Drawn: 4597
Frame Time: 1.28 ms, Points Drawn: 4592
Frame Time: 1.30 ms, Points Drawn: 4597
Frame Time: 1.41 ms, Points Drawn: 4598
Frame Time: 1.38 ms, Points Drawn: 4600
Frame Time: 1.32 ms, Points Drawn: 4603
Frame Time: 1.37 ms, Points Drawn: 4601
Frame Time: 1.32 ms, Points Drawn: 4607
Frame Time: 1.31 ms, Points Drawn: 4606
Frame Time: 1.38 ms, Points Drawn: 4607
Frame Time: 1.38 ms, Points Drawn: 4607
Frame Time: 1.27 ms, Points Drawn: 4610
Frame Time: 1.20 ms, Points Drawn: 4606
Frame Time: 1.29 ms, Points Drawn: 4599
Frame Time: 1.29 ms, Points Drawn: 4606
Frame Time: 1.26 ms, Points Drawn: 4609
Frame Time: 1.30 ms, Points Drawn: 4610
Frame Time: 1.42 ms, Points Drawn: 4610
Frame Time: 1.30 ms, Points Drawn: 4612
Frame Time: 1.29 ms, Points Drawn: 4613
Frame Time: 1.36 ms, Points Drawn: 4614
Frame Time: 1.30 ms, Points Drawn: 4611
Frame Time: 1.37 ms, Points Drawn: 4614
Frame Time: 1.43 ms, Points Drawn: 4613
Frame Time: 1.28 ms, Points Drawn: 4611
Frame Time: 1.24 ms, Points Drawn: 4614
Frame Time: 1.42 ms, Points Drawn: 4611
Frame Time: 1.35 ms, Points Drawn: 4615
Frame Time: 1.26 ms, Points Drawn: 4615
Frame Time: 1.50 ms, Points Drawn: 4614
Frame Time: 1.26 ms, Points Drawn: 4617
Frame Time: 1.27 ms, Points Drawn: 4618
Frame Time: 1.36 ms, Points Drawn: 4617
Frame Time: 1.34 ms, Points Drawn: 4616
Frame Time: 1.34 ms, Points Drawn: 4615
Frame Time: 1.27 ms, Points Drawn: 4616
Frame Time: 1.27 ms, Points Drawn: 4614
Frame Time: 1.34 ms, Points Drawn: 4614
Frame Time: 1.41 ms, Points Drawn: 4620
Frame Time: 1.32 ms, Points Drawn: 4622
Frame Time: 1.31 ms, Points Drawn: 4620
Frame Time: 1.31 ms, Points Drawn: 4619
Frame Time: 1.37 ms, Points Drawn: 4619
Frame Time: 1.32 ms, Points Drawn: 4622
Frame Time: 1.24 ms, Points Drawn: 4623
Frame Time: 1.31 ms, Points Drawn: 4624
Frame Time: 1.33 ms, Points Drawn: 4625
Frame Time: 1.31 ms, Points Drawn: 4621
Frame Time: 1.35 ms, Points Drawn: 4620
Frame Time: 1.34 ms, Points Drawn: 4623
Frame Time: 1.20 ms, Points Drawn: 4616
Frame Time: 1.36 ms, Points Drawn: 4622
Frame Time: 1.39 ms, Points Drawn: 4623
Frame Time: 1.28 ms, Points Drawn: 4628
Frame Time: 1.30 ms, Points Drawn: 4623
Frame Time: 1.34 ms, Points Drawn: 4624
Frame Time: 1.35 ms, Points Drawn: 4621
Frame Time: 1.33 ms, Points Drawn: 4623
Frame Time: 1.30 ms, Points Drawn: 4624
Frame Time: 1.28 ms, Points Drawn: 4620
