Frame Time: 5.61 ms, Points Drawn: 4621
Frame Time: 3.82 ms, Points Drawn: 4617
Frame Time: 2.91 ms, Points Drawn: 4619
Frame Time: 2.77 ms, Points Drawn: 4619
Frame Time: 2.81 ms, Points Drawn: 4616
Frame Time: 2.83 ms, Points Drawn: 4616
Frame Time: 3.25 ms, Points Drawn: 4618
Frame Time: 2.96 ms, Points Drawn: 4618
Frame Time: 2.83 ms, Points Drawn: 4622
Frame Time: 2.78 ms, Points Drawn: 4622
Frame Time: 3.06 ms, Points Drawn: 4619
Frame Time: 2.69 ms, Points Drawn: 4619
Frame Time: 2.74 ms, Points Drawn: 4625
Frame Time: 2.78 ms, Points Drawn: 4625
Frame Time: 3.02 ms, Points Drawn: 4621
Frame Time: 2.79 ms, Points Drawn: 4621
Frame Time: 2.83 ms, Points Drawn: 4621
Frame Time: 2.73 ms, Points Drawn: 4621
Frame Time: 3.19 ms, Points Drawn: 4618
Frame Time: 2.90 ms, Points Drawn: 4618
Frame Time: 2.91 ms, Points Drawn: 4616
Frame Time: 3.09 ms, Points Drawn: 4616
Frame Time: 3.41 ms, Points Drawn: 4615
Frame Time: 3.06 ms, Points Drawn: 4615
Frame Time: 3.41 ms, Points Drawn: 4617
Frame Time: 3.30 ms, Points Drawn: 4617
Frame Time: 3.48 ms, Points Drawn: 4611
Frame Time: 11.30 ms, Points Drawn: 4609
Frame Time: 2.72 ms, Points Drawn: 4610
Frame Time: 2.61 ms, Points Drawn: 4609
Frame Time: 3.26 ms, Points Drawn: 4609
Frame Time: 3.27 ms, Points Drawn: 4605
Frame Time: 3.36 ms, Points Drawn: 4605
Frame Time: 3.28 ms, Points Drawn: 4605
Frame Time: 3.66 ms, Points Drawn: 4605
Frame Time: 3.44 ms, Points Drawn: 4609
Frame Time: 3.29 ms, Points Drawn: 4609
Frame Time: 3.41 ms, Points Drawn: 4608
Frame Time: 3.60 ms, Points Drawn: 4608
Frame Time: 3.53 ms, Points Drawn: 4606
Frame Time: 3.45 ms, Points Drawn: 4606
Frame Time: 3.53 ms, Points Drawn: 4608
Frame Time: 3.92 ms, Points Drawn: 4608
Frame Time: 3.65 ms, Points Drawn: 4604
Frame Time: 3.65 ms, Points Drawn: 4604
Frame Time: 3.53 ms, Points Drawn: 4606
Frame Time: 3.61 ms, Points Drawn: 4606
Frame Time: 3.50 ms, Points Drawn: 4606
Frame Time: 3.50 ms, Points Drawn: 4606
Frame Time: 3.57 ms, Points Drawn: 4610
Frame Time: 3.53 ms, Points Drawn: 4610
Frame Time: 3.50 ms, Points Drawn: 4609
Frame Time: 3.38 ms, Points Drawn: 4609
Frame Time: 3.48 ms, Points Drawn: 4612
Frame Time: 3.37 ms, Points Drawn: 4612
Frame Time: 3.88 ms, Points Drawn: 4609
Frame Time: 3.37 ms, Points Drawn: 4609
Frame Time: 3.49 ms, Points Drawn: 4605
Frame Time: 3.44 ms, Points Drawn: 4605
Frame Time: 3.81 ms, Points Drawn: 4603
Frame Time: 3.65 ms, Points Drawn: 4603
Frame Time: 3.64 ms, Points Drawn: 4605
Frame Time: 3.45 ms, Points Drawn: 4605
Frame Time: 3.89 ms, Points Drawn: 4605
Frame Time: 3.52 ms, Points Drawn: 4605
Frame Time: 3.55 ms, Points Drawn: 4600
Frame Time: 3.50 ms, Points Drawn: 4600
Frame Time: 3.90 ms, Points Drawn: 4603
Frame Time: 3.61 ms, Points Drawn: 4603
Frame Time: 3.49 ms, Points Drawn: 4606
Frame Time: 3.43 ms, Points Drawn: 4606
Frame Time: 3.60 ms, Points Drawn: 4604
Frame Time: 3.39 ms, Points Drawn: 4604
Frame Time: 3.38 ms, Points Drawn: 4603
Frame Time: 3.49 ms, Points Drawn: 4603
Frame Time: 3.82 ms, Points Drawn: 4603
Frame Time: 3.49 ms, Points Drawn: 4603
Frame Time: 3.60 ms, Points Drawn: 4599
Frame Time: 3.45 ms, Points Drawn: 4599
Frame Time: 3.97 ms, Points Drawn: 4597
Frame Time: 3.54 ms, Points Drawn: 4597
Frame Time: 3.44 ms, Points Drawn: 4602
Frame Time: 3.42 ms, Points Drawn: 4602
Frame Time: 3.94 ms, Points Drawn: 4603
Frame Time: 3.49 ms, Points Drawn: 4603
Frame Time: 3.45 ms, Points Drawn: 4603
Frame Time: 3.42 ms, Points Drawn: 4603
Frame Time: 3.83 ms, Points Drawn: 4604
Frame Time: 3.48 ms, Points Drawn: 4604
Frame Time: 3.52 ms, Points Drawn: 4603
Frame Time: 3.47 ms, Points Drawn: 4603
Frame Time: 3.79 ms, Points Drawn: 4601
Frame Time: 3.87 ms, Points Drawn: 4601
Frame Time: 3.18 ms, Points Drawn: 4595
Frame Time: 3.30 ms, Points Drawn: 4595
Frame Time: 3.31 ms, Points Drawn: 4595
Frame Time: 3.62 ms, Points Drawn: 4595
Frame Time: 3.24 ms, Points Drawn: 4596
Frame Time: 3.43 ms, Points Drawn: 4596
Frame Time: 3.34 ms, Points Drawn: 4597
Frame Time: 3.72 ms, Points Drawn: 4597
Frame Time: 3.33 ms, Points Drawn: 4597
Frame Time: 3.43 ms, Points Drawn: 4597
Frame Time: 3.33 ms, Points Drawn: 4596
Frame Time: 3.86 ms, Points Drawn: 4596
Frame Time: 3.62 ms, Points Drawn: 4596
Frame Time: 3.54 ms, Points Drawn: 4596
Frame Time: 3.83 ms, Points Drawn: 4593
Frame Time: 3.91 ms, Points Drawn: 4593
Frame Time: 3.52 ms, Points Drawn: 4592
Frame Time: 3.60 ms, Points Drawn: 4592
Frame Time: 3.45 ms, Points Drawn: 4590
Frame Time: 3.90 ms, Points Drawn: 4590
Frame Time: 3.45 ms, Points Drawn: 4587
Frame Time: 3.80 ms, Points Drawn: 4587
Frame Time: 3.59 ms, Points Drawn: 4586
Frame Time: 4.09 ms, Points Drawn: 4586
Frame Time: 3.55 ms, Points Drawn: 4587
Frame Time: 3.68 ms, Points Drawn: 4587
Frame Time: 3.65 ms, Points Drawn: 4585
Frame Time: 3.89 ms, Points Drawn: 4585
Frame Time: 3.56 ms, Points Drawn: 4588
Frame Time: 3.43 ms, Points Drawn: 4588
Frame Time: 3.43 ms, Points Drawn: 4588
Frame Time: 3.47 ms, Points Drawn: 4588
Frame Time: 3.82 ms, Points Drawn: 4589
Frame Time: 3.42 ms, Points Drawn: 4589
Frame Time: 3.42 ms, Points Drawn: 4588
Frame Time: 3.45 ms, Points Drawn: 4588
Frame Time: 3.78 ms, Points Drawn: 4594
Frame Time: 3.53 ms, Points Drawn: 4594
Frame Time: 3.56 ms, Points Drawn: 4594
Frame Time: 3.53 ms, Points Drawn: 4594
Frame Time: 3.77 ms, Points Drawn: 4596
Frame Time: 3.54 ms, Points Drawn: 4596
Frame Time: 3.76 ms, Points Drawn: 4592
Frame Time: 3.81 ms, Points Drawn: 4592
Frame Time: 3.86 ms, Points Drawn: 4597
Frame Time: 3.62 ms, Points Drawn: 4597
Frame Time: 3.45 ms, Points Drawn: 4599
Frame Time: 3.70 ms, Points Drawn: 4599
Frame Time: 3.88 ms, Points Drawn: 4595
Frame Time: 3.58 ms, Points Drawn: 4595
Frame Time: 3.56 ms, Points Drawn: 4594
Frame Time: 3.72 ms, Points Drawn: 4597
Frame Time: 4.41 ms, Points Drawn: 4597
Frame Time: 3.94 ms, Points Drawn: 4598
Frame Time: 3.68 ms, Points Drawn: 4598
Frame Time: 3.78 ms, Points Drawn: 4598
Frame Time: 4.07 ms, Points Drawn: 4598
Frame Time: 3.65 ms, Points Drawn: 4603
Frame Time: 3.60 ms, Points Drawn: 4603
Frame Time: 3.53 ms, Points Drawn: 4603
Frame Time: 3.83 ms, Points Drawn: 4603
Frame Time: 3.53 ms, Points Drawn: 4601
Frame Time: 3.51 ms, Points Drawn: 4601
Frame Time: 3.54 ms, Points Drawn: 4608
Frame Time: 3.95 ms, Points Drawn: 4608
Frame Time: 3.69 ms, Points Drawn: 4608
Frame Time: 3.48 ms, Points Drawn: 4608
Frame Time: 3.51 ms, Points Drawn: 4608
Frame Time: 3.44 ms, Points Drawn: 4608
Frame Time: 3.49 ms, Points Drawn: 4608
Frame Time: 3.36 ms, Points Drawn: 4608
Frame Time: 3.47 ms, Points Drawn: 4610
Frame Time: 3.50 ms, Points Drawn: 4610
Frame Time: 3.76 ms, Points Drawn: 4607
Frame Time: 3.49 ms, Points Drawn: 4607
Frame Time: 3.46 ms, Points Drawn: 4604
Frame Time: 3.46 ms, Points Drawn: 4604
Frame Time: 3.81 ms, Points Drawn: 4601
Frame Time: 3.40 ms, Points Drawn: 4601
Frame Time: 3.47 ms, Points Drawn: 4605
Frame Time: 3.47 ms, Points Drawn: 4605
Frame Time: 3.90 ms, Points Drawn: 4610
Frame Time: 3.43 ms, Points Drawn: 4610
Frame Time: 3.50 ms, Points Drawn: 4609
Frame Time: 3.56 ms, Points Drawn: 4609
Frame Time: 4.01 ms, Points Drawn: 4610
Frame Time: 3.48 ms, Points Drawn: 4610
Frame Time: 3.60 ms, Points Drawn: 4608
Frame Time: 3.62 ms, Points Drawn: 4608
Frame Time: 3.87 ms, Points Drawn: 4612
Frame Time: 3.63 ms, Points Drawn: 4612
Frame Time: 3.65 ms, Points Drawn: 4614
Frame Time: 3.41 ms, Points Drawn: 4614
Frame Time: 3.87 ms, Points Drawn: 4614
Frame Time: 3.50 ms, Points Drawn: 4614
Frame Time: 3.45 ms, Points Drawn: 4613
Frame Time: 3.44 ms, Points Drawn: 4613
Frame Time: 3.58 ms, Points Drawn: 4613
Frame Time: 3.47 ms, Points Drawn: 4613
Frame Time: 3.36 ms, Points Drawn: 4616
Frame Time: 3.41 ms, Points Drawn: 4616
Frame Time: 3.77 ms, Points Drawn: 4613
Frame Time: 3.53 ms, Points Drawn: 4613
Frame Time: 3.48 ms, Points Drawn: 4609
Frame Time: 3.47 ms, Points Drawn: 4609
Frame Time: 3.96 ms, Points Drawn: 4611
Frame Time: 3.59 ms, Points Drawn: 4611
Frame Time: 3.60 ms, Points Drawn: 4612
Frame Time: 3.68 ms, Points Drawn: 4612
Frame Time: 3.56 ms, Points Drawn: 4613
Frame Time: 3.94 ms, Points Drawn: 4613
Frame Time: 3.43 ms, Points Drawn: 4613
Frame Time: 3.48 ms, Points Drawn: 4613
Frame Time: 3.58 ms, Points Drawn: 4615
Frame Time: 3.88 ms, Points Drawn: 4615
Frame Time: 3.48 ms, Points Drawn: 4613
Frame Time: 3.46 ms, Points Drawn: 4613
Frame Time: 3.55 ms, Points Drawn: 4616
Frame Time: 4.06 ms, Points Drawn: 4616
Frame Time: 3.82 ms, Points Drawn: 4617
Frame Time: 3.78 ms, Points Drawn: 4618
Frame Time: 3.78 ms, Points Drawn: 4618
Frame Time: 4.13 ms, Points Drawn: 4616
Frame Time: 3.81 ms, Points Drawn: 4616
Frame Time: 3.81 ms, Points Drawn: 4613
Frame Time: 3.91 ms, Points Drawn: 4613
Frame Time: 4.09 ms, Points Drawn: 4615
Frame Time: 3.79 ms, Points Drawn: 4615
Frame Time: 3.73 ms, Points Drawn: 4617
Frame Time: 3.75 ms, Points Drawn: 4617
Frame Time: 4.03 ms, Points Drawn: 4616
Frame Time: 3.63 ms, Points Drawn: 4616
Frame Time: 3.64 ms, Points Drawn: 4614
Frame Time: 3.70 ms, Points Drawn: 4614
