Frame Time: 12.28 ms, Points Drawn: 4620
Frame Time: 12.60 ms, Points Drawn: 4621
Frame Time: 11.21 ms, Points Drawn: 4621
Frame Time: 11.60 ms, Points Drawn: 4615
Frame Time: 23.83 ms, Points Drawn: 4617
Frame Time: 18.75 ms, Points Drawn: 4619
Frame Time: 22.11 ms, Points Drawn: 4616
Frame Time: 24.46 ms, Points Drawn: 4618
Frame Time: 18.44 ms, Points Drawn: 4622
Frame Time: 22.24 ms, Points Drawn: 4619
Frame Time: 12.58 ms, Points Drawn: 4620
Frame Time: 11.39 ms, Points Drawn: 4621
Frame Time: 11.71 ms, Points Drawn: 4621
Frame Time: 11.50 ms, Points Drawn: 4615
Frame Time: 11.40 ms, Points Drawn: 4617
Frame Time: 11.01 ms, Points Drawn: 4619
Frame Time: 11.78 ms, Points Drawn: 4616
Frame Time: 12.39 ms, Points Drawn: 4618
Frame Time: 11.23 ms, Points Drawn: 4622
Frame Time: 11.92 ms, Points Drawn: 4619
Frame Time: 11.37 ms, Points Drawn: 4625
Frame Time: 11.46 ms, Points Drawn: 4621
Frame Time: 11.71 ms, Points Drawn: 4621
Frame Time: 11.94 ms, Points Drawn: 4618
Frame Time: 11.51 ms, Points Drawn: 4616
Frame Time: 11.73 ms, Points Drawn: 4615
Frame Time: 11.75 ms, Points Drawn: 4617
Frame Time: 11.84 ms, Points Drawn: 4611
Frame Time: 11.81 ms, Points Drawn: 4609
Frame Time: 11.59 ms, Points Drawn: 4610
Frame Time: 11.44 ms, Points Drawn: 4608
Frame Time: 11.90 ms, Points Drawn: 4609
Frame Time: 11.79 ms, Points Drawn: 4605
Frame Time: 11.68 ms, Points Drawn: 4605
Frame Time: 11.59 ms, Points Drawn: 4609
Frame Time: 11.72 ms, Points Drawn: 4608
Frame Time: 11.64 ms, Points Drawn: 4606
Frame Time: 11.60 ms, Points Drawn: 4608
Frame Time: 11.68 ms, Points Drawn: 4604
Frame Time: 11.73 ms, Points Drawn: 4606
Frame Time: 11.49 ms, Points Drawn: 4606
Frame Time: 12.03 ms, Points Drawn: 4610
Frame Time: 11.25 ms, Points Drawn: 4609
Frame Time: 11.72 ms, Points Drawn: 4612
Frame Time: 11.66 ms, Points Drawn: 4609
Frame Time: 11.70 ms, Points Drawn: 4605
Frame Time: 11.71 ms, Points Drawn: 4603
Frame Time: 11.48 ms, Points Drawn: 4605
Frame Time: 11.54 ms, Points Drawn: 4605
Frame Time: 11.48 ms, Points Drawn: 4600
Frame Time: 11.62 ms, Points Drawn: 4603
Frame Time: 11.81 ms, Points Drawn: 4606
Frame Time: 11.94 ms, Points Drawn: 4604
Frame Time: 12.54 ms, Points Drawn: 4603
Frame Time: 11.68 ms, Points Drawn: 4603
Frame Time: 11.81 ms, Points Drawn: 4599
Frame Time: 11.90 ms, Points Drawn: 4597
Frame Time: 11.37 ms, Points Drawn: 4602
Frame Time: 11.32 ms, Points Drawn: 4603
Frame Time: 11.99 ms, Points Drawn: 4603
Frame Time: 12.24 ms, Points Drawn: 4604
Frame Time: 11.29 ms, Points Drawn: 4603
Frame Time: 11.23 ms, Points Drawn: 4601
Frame Time: 11.57 ms, Points Drawn: 4595
Frame Time: 12.15 ms, Points Drawn: 4595
Frame Time: 12.23 ms, Points Drawn: 4596
Frame Time: 11.40 ms, Points Drawn: 4597
Frame Time: 11.33 ms, Points Drawn: 4597
Frame Time: 11.52 ms, Points Drawn: 4596
Frame Time: 11.46 ms, Points Drawn: 4596
Frame Time: 11.38 ms, Points Drawn: 4593
Frame Time: 11.54 ms, Points Drawn: 4592
Frame Time: 11.38 ms, Points Drawn: 4590
Frame Time: 11.88 ms, Points Drawn: 4587
Frame Time: 11.14 ms, Points Drawn: 4586
Frame Time: 11.65 ms, Points Drawn: 4587
Frame Time: 11.59 ms, Points Drawn: 4585
Frame Time: 11.76 ms, Points Drawn: 4588
Frame Time: 11.91 ms, Points Drawn: 4588
Frame Time: 11.22 ms, Points Drawn: 4589
Frame Time: 11.85 ms, Points Drawn: 4588
Frame Time: 11.78 ms, Points Drawn: 4594
Frame Time: 11.72 ms, Points Drawn: 4594
Frame Time: 11.97 ms, Points Drawn: 4596
Frame Time: 11.54 ms, Points Drawn: 4592
Frame Time: 11.37 ms, Points Drawn: 4597
Frame Time: 11.66 ms, Points Drawn: 4599
Frame Time: 11.37 ms, Points Drawn: 4595
Frame Time: 11.77 ms, Points Drawn: 4594
Frame Time: 11.37 ms, Points Drawn: 4597
Frame Time: 11.12 ms, Points Drawn: 4598
Frame Time: 11.37 ms, Points Drawn: 4598
Frame Time: 11.19 ms, Points Drawn: 4603
Frame Time: 12.06 ms, Points Drawn: 4603
Frame Time: 11.50 ms, Points Drawn: 4601
Frame Time: 11.99 ms, Points Drawn: 4608
Frame Time: 11.28 ms, Points Drawn: 4608
Frame Time: 11.77 ms, Points Drawn: 4608
Frame Time: 11.71 ms, Points Drawn: 4608
Frame Time: 11.77 ms, Points Drawn: 4610
Frame Time: 12.02 ms, Points Drawn: 4607
Frame Time: 11.86 ms, Points Drawn: 4604
Frame Time: 11.85 ms, Points Drawn: 4601
Frame Time: 11.55 ms, Points Drawn: 4605
Frame Time: 11.36 ms, Points Drawn: 4610
Frame Time: 11.67 ms, Points Drawn: 4609
Frame Time: 11.85 ms, Points Drawn: 4610
Frame Time: 11.33 ms, Points Drawn: 4608
Frame Time: 11.72 ms, Points Drawn: 4612
Frame Time: 11.81 ms, Points Drawn: 4614
Frame Time: 11.48 ms, Points Drawn: 4614
Frame Time: 11.08 ms, Points Drawn: 4613
Frame Time: 11.46 ms, Points Drawn: 4613
Frame Time: 11.53 ms, Points Drawn: 4616
Frame Time: 11.50 ms, Points Drawn: 4613
Frame Time: 11.32 ms, Points Drawn: 4609
Frame Time: 11.85 ms, Points Drawn: 4611
Frame Time: 11.63 ms, Points Drawn: 4612
Frame Time: 11.64 ms, Points Drawn: 4613
Frame Time: 11.72 ms, Points Drawn: 4613
Frame Time: 11.52 ms, Points Drawn: 4615
Frame Time: 11.50 ms, Points Drawn: 4613
Frame Time: 11.88 ms, Points Drawn: 4616
Frame Time: 11.54 ms, Points Drawn: 4617
Frame Time: 11.58 ms, Points Drawn: 4618
Frame Time: 11.64 ms, Points Drawn: 4616
Frame Time: 11.82 ms, Points Drawn: 4613
Frame Time: 11.38 ms, Points Drawn: 4615
Frame Time: 11.32 ms, Points Drawn: 4617
Frame Time: 11.16 ms, Points Drawn: 4616
Frame Time: 11.64 ms, Points Drawn: 4614
Frame Time: 11.81 ms, Points Drawn: 4617
Frame Time: 11.89 ms, Points Drawn: 4620
Frame Time: 11.10 ms, Points Drawn: 4620
Frame Time: 11.21 ms, Points Drawn: 4622
Frame Time: 11.43 ms, Points Drawn: 4619
Frame Time: 11.77 ms, Points Drawn: 4618
Frame Time: 11.69 ms, Points Drawn: 4624
Frame Time: 11.85 ms, Points Drawn: 4621
Frame Time: 11.46 ms, Points Drawn: 4622
Frame Time: 11.65 ms, Points Drawn: 4625
Frame Time: 11.34 ms, Points Drawn: 4626
Frame Time: 11.32 ms, Points Drawn: 4623
Frame Time: 11.89 ms, Points Drawn: 4621
Frame Time: 12.10 ms, Points Drawn: 4620
Frame Time: 11.59 ms, Points Drawn: 4620
Frame Time: 11.39 ms, Points Drawn: 4616
Frame Time: 11.76 ms, Points Drawn: 4622
Frame Time: 11.66 ms, Points Drawn: 4621
Frame Time: 11.43 ms, Points Drawn: 4625
Frame Time: 11.42 ms, Points Drawn: 4626
Frame Time: 11.69 ms, Points Drawn: 4624
Frame Time: 11.68 ms, Points Drawn: 4624
Frame Time: 11.59 ms, Points Drawn: 4619
Frame Time: 11.68 ms, Points Drawn: 4623
Frame Time: 11.62 ms, Points Drawn: 4624
Frame Time: 12.13 ms, Points Drawn: 4624
Frame Time: 11.74 ms, Points Drawn: 4619
Frame Time: 11.69 ms, Points Drawn: 4621
Frame Time: 12.03 ms, Points Drawn: 4625
Frame Time: 11.43 ms, Points Drawn: 4618
Frame Time: 11.03 ms, Points Drawn: 4616
Frame Time: 11.28 ms, Points Drawn: 4619
Frame Time: 11.94 ms, Points Drawn: 4618
Frame Time: 11.52 ms, Points Drawn: 4618
Frame Time: 11.14 ms, Points Drawn: 4618
Frame Time: 11.48 ms, Points Drawn: 4617
Frame Time: 11.83 ms, Points Drawn: 4616
Frame Time: 11.50 ms, Points Drawn: 4617
Frame Time: 11.86 ms, Points Drawn: 4610
Frame Time: 11.61 ms, Points Drawn: 4610
Frame Time: 11.90 ms, Points Drawn: 4605
Frame Time: 11.31 ms, Points Drawn: 4606
Frame Time: 11.66 ms, Points Drawn: 4604
Frame Time: 11.80 ms, Points Drawn: 4607
Frame Time: 15.62 ms, Points Drawn: 4609
Frame Time: 11.50 ms, Points Drawn: 4612
Frame Time: 11.59 ms, Points Drawn: 4611
Frame Time: 11.68 ms, Points Drawn: 4611
Frame Time: 15.26 ms, Points Drawn: 4614
Frame Time: 11.42 ms, Points Drawn: 4615
Frame Time: 11.70 ms, Points Drawn: 4616
Frame Time: 11.97 ms, Points Drawn: 4612
Frame Time: 11.42 ms, Points Drawn: 4611
Frame Time: 11.41 ms, Points Drawn: 4615
Frame Time: 11.51 ms, Points Drawn: 4613
Frame Time: 11.69 ms, Points Drawn: 4616
Frame Time: 11.33 ms, Points Drawn: 4620
Frame Time: 12.05 ms, Points Drawn: 4621
Frame Time: 11.32 ms, Points Drawn: 4627
Frame Time: 11.82 ms, Points Drawn: 4626
Frame Time: 11.45 ms, Points Drawn: 4629
Frame Time: 11.55 ms, Points Drawn: 4625
Frame Time: 11.71 ms, Points Drawn: 4623
Frame Time: 11.62 ms, Points Drawn: 4621
Frame Time: 11.62 ms, Points Drawn: 4623
Frame Time: 12.25 ms, Points Drawn: 4621
Frame Time: 11.39 ms, Points Drawn: 4622
Frame Time: 11.91 ms, Points Drawn: 4621
Frame Time: 11.45 ms, Points Drawn: 4622
Frame Time: 11.52 ms, Points Drawn: 4619
Frame Time: 11.27 ms, Points Drawn: 4623
Frame Time: 11.73 ms, Points Drawn: 4629
Frame Time: 11.81 ms, Points Drawn: 4630
Frame Time: 11.82 ms, Points Drawn: 4632
Frame Time: 11.77 ms, Points Drawn: 4624
Frame Time: 11.50 ms, Points Drawn: 4626
Frame Time: 11.46 ms, Points Drawn: 4626
Frame Time: 11.74 ms, Points Drawn: 4629
Frame Time: 11.74 ms, Points Drawn: 4627
Frame Time: 11.64 ms, Points Drawn: 4624
Frame Time: 11.67 ms, Points Drawn: 4625
Frame Time: 11.57 ms, Points Drawn: 4630
Frame Time: 11.65 ms, Points Drawn: 4629
Frame Time: 11.32 ms, Points Drawn: 4632
Frame Time: 11.76 ms, Points Drawn: 4632
Frame Time: 11.54 ms, Points Drawn: 4632
Frame Time: 11.86 ms, Points Drawn: 4631
Frame Time: 11.57 ms, Points Drawn: 4629
Frame Time: 11.69 ms, Points Drawn: 4628
Frame Time: 11.83 ms, Points Drawn: 4627
Frame Time: 11.55 ms, Points Drawn: 4628
Frame Time: 11.86 ms, Points Drawn: 4630
Frame Time: 11.94 ms, Points Drawn: 4629
Frame Time: 11.75 ms, Points Drawn: 4627
Frame Time: 11.46 ms, Points Drawn: 4630
Frame Time: 11.32 ms, Points Drawn: 4629
Frame Time: 11.73 ms, Points Drawn: 4628
Frame Time: 10.95 ms, Points Drawn: 4634
Frame Time: 11.86 ms, Points Drawn: 4634
Frame Time: 11.06 ms, Points Drawn: 4637
Frame Time: 11.52 ms, Points Drawn: 4633
Frame Time: 11.77 ms, Points Drawn: 4631
Frame Time: 11.36 ms, Points Drawn: 4632
Frame Time: 11.66 ms, Points Drawn: 4637
Frame Time: 12.02 ms, Points Drawn: 4640
Frame Time: 11.72 ms, Points Drawn: 4641
Frame Time: 10.79 ms, Points Drawn: 4644
Frame Time: 11.55 ms, Points Drawn: 4641
Frame Time: 11.59 ms, Points Drawn: 4639
Frame Time: 11.63 ms, Points Drawn: 4638
Frame Time: 11.62 ms, Points Drawn: 4632
Frame Time: 11.42 ms, Points Drawn: 4636
Frame Time: 11.90 ms, Points Drawn: 4636
Frame Time: 11.48 ms, Points Drawn: 4635
Frame Time: 11.52 ms, Points Drawn: 4634
Frame Time: 11.33 ms, Points Drawn: 4637
Frame Time: 11.93 ms, Points Drawn: 4638
Frame Time: 11.40 ms, Points Drawn: 4634
Frame Time: 11.15 ms, Points Drawn: 4636
Frame Time: 11.07 ms, Points Drawn: 4632
Frame Time: 11.78 ms, Points Drawn: 4631
Frame Time: 11.27 ms, Points Drawn: 4630
Frame Time: 12.07 ms, Points Drawn: 4629
Frame Time: 11.21 ms, Points Drawn: 4632
Frame Time: 11.69 ms, Points Drawn: 4639
Frame Time: 11.18 ms, Points Drawn: 4642
Frame Time: 11.46 ms, Points Drawn: 4643
Frame Time: 11.73 ms, Points Drawn: 4643
Frame Time: 11.40 ms, Points Drawn: 4643
